iter	MultiClass
718	0.09074672902
719	0.09056493714
720	0.09052370197
721	0.09042469878
722	0.09031730465
723	0.09019435738
724	0.09013108365
725	0.09007226056
726	0.08987487276
727	0.08971274191
728	0.0896252021
729	0.08949572772
730	0.08938711493
731	0.08928683396
732	0.08915053112
733	0.08907354839
734	0.08893006945
735	0.08888794058
736	0.08882812039
737	0.08873329624
738	0.0886533288
739	0.08851028876
740	0.08840917208
741	0.0881733271
742	0.08808807261
743	0.08801053414
744	0.08790157283
745	0.0876766675
746	0.08760406955
747	0.08743179009
748	0.08731448488
749	0.08724217594
750	0.08712207597
751	0.08705287506
752	0.08688815273
753	0.08683143858
754	0.08668718633
755	0.0866013029
756	0.0864568174
757	0.08637593805
758	0.08627024661
759	0.08616549551
760	0.08609485842
761	0.08596621851
762	0.08581197824
763	0.08574795114
764	0.08564753175
765	0.08556363848
766	0.08529473199
767	0.08520222058
768	0.08508397026
769	0.08495031427
770	0.08486497564
771	0.08481140958
772	0.08465369995
773	0.08456389859
774	0.08451784975
775	0.08438807991
776	0.08431407933
777	0.08418641144
778	0.08410060603
779	0.08393473565
780	0.08382969859
781	0.08365735234
782	0.08356740029
783	0.08347216039
784	0.08337322485
785	0.08324145942
786	0.0831311279
787	0.08303420722
788	0.08292709153
789	0.08288786423
790	0.08278389186
791	0.08271227408
792	0.08262651441
793	0.08250863008
794	0.08242244569
795	0.08234050533
796	0.08227523189
797	0.08219814673
798	0.08201696249
799	0.08194190921
800	0.08173605046
801	0.08165040016
802	0.08150834275
803	0.08142228122
804	0.08127742055
805	0.08117676799
806	0.08102953923
807	0.08097480096
808	0.08088897803
809	0.08080542397
810	0.08071223905
811	0.08063553713
812	0.08051066591
813	0.08033976441
814	0.08024094568
815	0.08010923787
816	0.08002455873
817	0.07990464882
818	0.07985412456
819	0.07981144226
820	0.07972297225
821	0.07965426027
822	0.07952741477
823	0.07940321196
824	0.07933329764
825	0.07922740849
826	0.07917877209
827	0.07910180435
828	0.0789340504
829	0.0788007639
830	0.07866665228
831	0.07855849767
832	0.07846233419
833	0.07838569049
834	0.07831770881
835	0.07826403544
836	0.07819339228
837	0.07812867498
838	0.07808106312
839	0.07799932296
840	0.07793882017
841	0.07766741191
842	0.07758024158
843	0.07743130552
844	0.07732610623
845	0.07721210044
846	0.07712036928
847	0.07698778636
848	0.07690745536
849	0.07683218088
850	0.07674063534
851	0.07666058224
852	0.07652869029
853	0.07644367972
854	0.07637666985
855	0.07631239551
856	0.07620473999
857	0.0761209092
858	0.07605325068
859	0.07597843023
860	0.07590376569
861	0.07586652005
862	0.07582494958
863	0.07571206557
864	0.07562842591
865	0.07557893184
866	0.07545744569
867	0.07534058634
868	0.07528832418
869	0.07521660161
870	0.07516268853
871	0.07506652689
872	0.07491243624
873	0.0748525068
874	0.07470613254
875	0.07464600713
876	0.07458229223
877	0.07451623443
878	0.07444019453
879	0.07438578039
880	0.07431549408
881	0.07426080872
882	0.07422174183
883	0.07414878616
884	0.07407838618
885	0.07401024356
886	0.07392088049
887	0.07383361176
888	0.07378794301
889	0.07372398945
890	0.07356452849
891	0.07347903632
892	0.07342167981
893	0.0733662329
894	0.07329996354
895	0.07324474622
896	0.07315435277
897	0.07309445798
898	0.07300088935
899	0.07283360835
900	0.07266648548
901	0.07260574048
902	0.07248253907
903	0.07237982852
904	0.07233586873
905	0.07226137453
906	0.07220075724
907	0.0721065189
908	0.07206190304
909	0.07189275065
910	0.07178920672
911	0.07172477218
912	0.07160331134
913	0.07147150328
914	0.07139187533
915	0.07121831288
916	0.0709961165
917	0.07092461421
918	0.07079341874
919	0.07075499786
920	0.07064724185
921	0.07057286806
922	0.07053595506
923	0.07047557222
924	0.07043522894
925	0.07035823531
926	0.07026554225
927	0.07018505245
928	0.07014443781
929	0.07003713686
930	0.06998774665
931	0.06995322583
932	0.06985727669
933	0.06977367603
934	0.06966824246
935	0.06959205589
936	0.06949364009
937	0.06940082224
938	0.06931112971
939	0.06923084189
940	0.06914304938
941	0.06894961967
942	0.06889088809
943	0.06883204839
944	0.06880418695
945	0.06873778822
946	0.06866945789
947	0.0686196771
948	0.06857378535
949	0.06849417966
950	0.06843482505
951	0.06840120427
952	0.06833065209
953	0.06823429107
954	0.06818737043
955	0.06810830672
956	0.06801178054
957	0.06795171319
958	0.0678997178
959	0.0678535701
960	0.06764956845
961	0.06754312907
962	0.06747458759
963	0.0673062837
964	0.0672336163
965	0.06715400571
966	0.06712903206
967	0.06706905132
968	0.06702763558
969	0.06691200346
970	0.06684848201
971	0.06677313052
972	0.06669491146
973	0.0666522795
974	0.06652651675
975	0.06644402745
976	0.06635279948
977	0.06631938621
978	0.06617338493
979	0.06609680851
980	0.06603596431
981	0.06593360278
982	0.06585456989
983	0.06576102251
984	0.06572131343
985	0.06567084777
986	0.06553876088
987	0.06542077446
988	0.06537633183
989	0.06532644101
990	0.06524949758
991	0.06514221452
992	0.06507785759
993	0.06498273635
994	0.06491878629
995	0.06488936207
996	0.06484398252
997	0.06474662705
998	0.06468756053
999	0.06462499452
