iter	Logloss
0	0.6896184251
1	0.6858162436
2	0.6796523905
3	0.673813991
4	0.6690767501
5	0.663608865
6	0.6605114171
7	0.6558070387
8	0.6504937241
9	0.6449111561
10	0.6396662308
11	0.6347641413
12	0.6297267848
13	0.6246362686
14	0.6208196093
15	0.6159416986
16	0.6113204365
17	0.6068860462
18	0.6027493599
19	0.5991992347
20	0.596346481
21	0.5919776403
22	0.588048583
23	0.5842808191
24	0.580671748
25	0.5771682998
26	0.5751975675
27	0.5716372175
28	0.5697465197
29	0.5667207947
30	0.5635918796
31	0.5599764084
32	0.5566369945
33	0.5540593041
34	0.5512378196
35	0.5490092957
36	0.5459819108
37	0.543670969
38	0.5406607321
39	0.5379554369
40	0.5354718577
41	0.5330817834
42	0.5302064457
43	0.527267809
44	0.5245968599
45	0.522304135
46	0.5199951486
47	0.51762454
48	0.515212828
49	0.512722613
50	0.510072983
51	0.5082714407
52	0.5061220247
53	0.5049884763
54	0.5025770434
55	0.5009468236
56	0.4992948265
57	0.4973077078
58	0.4955278968
59	0.4936767547
60	0.4915564242
61	0.4893821896
62	0.4882793684
63	0.4867036103
64	0.4848386991
65	0.4835153482
66	0.482030228
67	0.4806314944
68	0.4798520852
69	0.4783607435
70	0.4772067027
71	0.4755882596
72	0.4739727963
73	0.4732433015
74	0.471255499
75	0.4699599945
76	0.4682681415
77	0.4665797171
78	0.4658311499
79	0.4647501585
80	0.4632231393
81	0.4622259178
82	0.4606829561
83	0.4589910155
84	0.4577975099
85	0.4563803834
86	0.455328972
87	0.4538191866
88	0.4525969002
89	0.4517395182
90	0.4503862109
91	0.4496676585
92	0.4487268674
93	0.4473705823
94	0.4464960877
95	0.445943889
96	0.4447230604
97	0.4437204085
98	0.4424844979
99	0.4419949711
100	0.4409575002
101	0.4400912693
102	0.4388913634
103	0.4380023451
104	0.4375631333
105	0.4365877293
106	0.4357441811
107	0.4345752226
108	0.4339587925
109	0.4329563874
110	0.4319229153
111	0.4310042079
112	0.4306690794
113	0.4297633322
114	0.4287938554
115	0.4281080002
116	0.4272405145
117	0.4267812266
118	0.4262587818
119	0.4251795547
120	0.4241947729
121	0.4239425047
122	0.4230925714
123	0.4222726051
124	0.421536804
125	0.4208383722
126	0.4201353336
127	0.419300463
128	0.4187688429
129	0.4177854009
130	0.4175268234
131	0.4166910859
132	0.4164893549
133	0.4157498653
134	0.4151180518
135	0.4144659992
136	0.4137842952
137	0.4132679507
138	0.4126983595
139	0.412033243
140	0.411496733
141	0.4109537584
142	0.4102066055
143	0.409572208
144	0.4090793138
145	0.4084563695
146	0.4078539204
147	0.4073259165
148	0.4066492371
149	0.4063531558
150	0.4058056869
151	0.4051537171
152	0.4046651144
153	0.4044716932
154	0.4041070919
155	0.4036846337
156	0.4029911263
157	0.4027571995
158	0.4023227135
159	0.4020849373
160	0.4013407094
161	0.4007623576
162	0.4003401281
163	0.3997231539
164	0.3990903196
165	0.3984356289
166	0.3983232379
167	0.3976941282
168	0.3973698416
169	0.3968812014
170	0.3967817904
171	0.3964009172
172	0.3958987043
173	0.3957135539
174	0.3954765561
175	0.3950582684
176	0.3947632327
177	0.3943713524
178	0.3938671123
179	0.393480348
180	0.3928975941
181	0.3925545626
182	0.3920778939
183	0.3916051966
184	0.3912414882
185	0.3910880719
186	0.3908220055
187	0.3905706555
188	0.3903206949
189	0.3899869651
190	0.3897248895
191	0.3895524045
192	0.3890897765
193	0.3890279283
194	0.3886106251
195	0.3885116021
196	0.388478816
197	0.3883258446
198	0.3882091112
199	0.3880801332
200	0.3876859668
201	0.3874933507
202	0.3872256412
203	0.3868306549
204	0.3865338887
205	0.386251389
206	0.3859451641
207	0.3854341429
208	0.38529071
209	0.3849292381
210	0.3848234173
211	0.3846737576
212	0.3844697895
213	0.3841105709
214	0.3839217552
215	0.38358795
216	0.3833049353
217	0.3830502634
218	0.3828075864
219	0.3823570398
220	0.3822598188
221	0.3819934074
222	0.3817352167
223	0.3814012269
224	0.3810893439
225	0.3810603774
226	0.3808170461
227	0.3805365653
228	0.3804557657
229	0.3802119803
230	0.3798911875
231	0.379581885
232	0.3792784599
233	0.3788886542
234	0.3785847745
235	0.3784632924
236	0.3782415163
237	0.3781072986
238	0.3779101618
239	0.3776411825
240	0.3775561175
241	0.3771797348
242	0.3769727479
243	0.3768001857
244	0.3765333832
245	0.3763753291
246	0.3761417759
247	0.3758459072
248	0.3755437921
249	0.3754981732
250	0.3754742382
251	0.3752441017
252	0.375087226
253	0.3747522337
254	0.3745571673
255	0.3743727158
256	0.3740688348
257	0.3739900902
258	0.3736671776
259	0.3733852078
260	0.3731684294
261	0.3728771872
262	0.3727459937
263	0.3725678043
264	0.3723938371
265	0.3722118757
266	0.3719298194
267	0.3715711087
268	0.3712558333
269	0.3709531879
270	0.3707216428
271	0.3705239098
272	0.3704634982
273	0.3702231588
274	0.3698272316
275	0.3696828133
276	0.369371223
277	0.3691440367
278	0.3687629804
279	0.3686365913
280	0.3684389754
281	0.3683907003
282	0.3681324284
283	0.3677977825
284	0.3677833527
285	0.3675883829
286	0.3673067652
287	0.3668568487
288	0.3666597428
289	0.3664757356
290	0.3661821793
291	0.3660025313
292	0.3657922411
293	0.3656383248
294	0.3656021553
295	0.3653264547
296	0.3652891924
297	0.3651358096
298	0.3647966728
299	0.3646255174
300	0.3644443386
301	0.3640393228
302	0.3638208499
303	0.3637187837
304	0.3635385243
305	0.3633147856
306	0.3632485367
307	0.3630784725
308	0.3629067623
309	0.3627296646
310	0.3625431372
311	0.3622509132
312	0.3620906645
313	0.3619116079
314	0.3617818854
315	0.3617308867
316	0.3615663796
317	0.361378027
318	0.3611200989
319	0.3609275402
320	0.3606489017
321	0.3605942878
322	0.3604316155
323	0.3602547762
324	0.3599631534
325	0.3597367014
326	0.3594672411
327	0.3591577583
328	0.3590388551
329	0.358936226
330	0.3587800292
331	0.3587606809
332	0.3586737608
333	0.3585294693
334	0.3584230414
335	0.3581583636
336	0.3580083142
337	0.3578755843
338	0.3578730897
339	0.3576762585
340	0.3576117864
341	0.3573172924
342	0.3570354946
343	0.3568929702
344	0.3567139015
345	0.3565679261
346	0.3563878206
347	0.3562188326
348	0.3560459181
349	0.3558331098
350	0.3556097278
351	0.3553556334
352	0.3553076706
353	0.3551402444
354	0.3548975555
355	0.3547247521
356	0.3545923674
357	0.3543354987
358	0.3541753433
359	0.3538579943
360	0.3537034852
361	0.3535297699
362	0.3534548234
363	0.3531388758
364	0.3528861258
365	0.3527404543
366	0.3526120142
367	0.3526025062
368	0.3525982431
369	0.3524224555
370	0.3523332699
371	0.3522012703
372	0.3519482859
373	0.3519200595
374	0.3516881612
375	0.3515012643
376	0.3513634154
377	0.3510834456
378	0.3509579025
379	0.3508108872
380	0.3505817084
381	0.3503591818
382	0.3502175643
383	0.3500305551
384	0.3497942873
385	0.3495962979
386	0.3494641243
387	0.3492356842
388	0.34918142
389	0.3490486264
390	0.3489482381
391	0.3488608837
392	0.348707718
393	0.3486817079
394	0.3485683345
395	0.3484898219
396	0.3483815126
397	0.3480002904
398	0.3479227134
399	0.347718646
400	0.347687181
401	0.3476722344
402	0.3476277758
403	0.3473954504
404	0.3472695337
405	0.3470560696
406	0.3468975716
407	0.3467596654
408	0.3467392949
409	0.3466011092
410	0.3464700383
411	0.3463427071
412	0.3462691975
413	0.3461175
414	0.3459733665
415	0.3458360011
416	0.3455916783
417	0.3455142283
418	0.3454050004
419	0.3453157605
420	0.3452044186
421	0.3451065327
422	0.3448021187
423	0.3447707995
424	0.3446194971
425	0.3445772423
426	0.3444854905
427	0.3442577773
428	0.3442446443
429	0.3441236346
430	0.3439697245
431	0.3438912315
432	0.3435632551
433	0.3434865558
434	0.3434426721
435	0.3433760383
436	0.3432284241
437	0.3429218808
438	0.3427719918
439	0.3426770054
440	0.3423592086
441	0.3422443005
442	0.3421179886
443	0.3420370343
444	0.3419168
445	0.3418418364
446	0.3416020901
447	0.3415050748
448	0.3412018307
449	0.3410942934
450	0.3410623393
451	0.3409974394
452	0.3408662039
453	0.3408529338
454	0.3407462093
455	0.340582182
456	0.3404275869
457	0.3403339385
458	0.3402229643
459	0.3400338519
460	0.3399164348
461	0.339843068
462	0.3397091423
463	0.3396183863
464	0.3395322041
465	0.3394121071
466	0.3392846718
467	0.3391421059
468	0.3389976931
469	0.3388106607
470	0.3388086492
471	0.3386637004
472	0.3383067759
473	0.3380909348
474	0.3380503885
475	0.337951306
476	0.3378338663
477	0.3377509446
478	0.3376493108
479	0.3374457382
480	0.3373416736
481	0.3373181757
482	0.3372274423
483	0.3371327435
484	0.3369735145
485	0.3367792394
486	0.3366950943
487	0.3365498646
488	0.3365133433
489	0.3363066669
490	0.3361640905
491	0.335999473
492	0.3357240156
493	0.3356579728
494	0.3355928427
495	0.3354043413
496	0.3353916685
497	0.3352234234
498	0.335140969
499	0.3349853023
500	0.3348439516
501	0.3345067306
502	0.3343294045
503	0.3342122201
504	0.3341150338
505	0.3340287002
506	0.3339313451
507	0.3338468064
508	0.3336917136
509	0.3336439731
510	0.3335679961
511	0.3334451281
512	0.3332092863
513	0.3331773587
514	0.3331182813
515	0.3328678588
516	0.3328006961
517	0.3326792315
518	0.3326652998
519	0.3325604163
520	0.3325592153
521	0.332499712
522	0.3324463609
523	0.3323703026
524	0.3323140129
525	0.3322604824
526	0.332228087
527	0.3321098833
528	0.3319749794
529	0.3319147433
530	0.3316578525
531	0.3313827309
532	0.3313305194
533	0.331098682
534	0.331095227
535	0.3309294031
536	0.3308848699
537	0.3307893683
538	0.3306890127
539	0.3306461973
540	0.3305627487
541	0.3304747888
542	0.3303201636
543	0.3302150951
544	0.3300751618
545	0.3300235302
546	0.3298639819
547	0.3297663824
548	0.3296594241
549	0.3295243037
550	0.3292961449
551	0.329154355
552	0.3290870288
553	0.3289737419
554	0.3288885397
555	0.328781783
556	0.328556795
557	0.3282924079
558	0.3282807823
559	0.3281434418
560	0.3281083763
561	0.3280616335
562	0.3279802774
563	0.327838459
564	0.3275598306
565	0.3274362787
566	0.3273411026
567	0.3272529851
568	0.3271182201
569	0.3268498903
570	0.3267761251
571	0.3266077639
572	0.3265272542
573	0.3264860892
574	0.3262211641
575	0.3261318676
576	0.3259611647
577	0.325791185
578	0.3255935926
579	0.3254160584
580	0.325243313
581	0.3251854793
582	0.3251131118
583	0.325083492
584	0.3249539272
585	0.3247779067
586	0.3245303698
587	0.3244939929
588	0.3242152522
589	0.3240519351
590	0.3239273663
591	0.3237741403
592	0.3236264011
593	0.323508524
594	0.3233550828
595	0.32331894
596	0.3233056854
597	0.3232243452
598	0.3231339659
599	0.3231230599
600	0.3229442091
601	0.3227680918
602	0.3225822149
603	0.3224745385
604	0.3223101711
605	0.3221957141
606	0.3221255053
607	0.3218885631
608	0.3217594315
609	0.3216985665
610	0.3215502141
611	0.321457894
612	0.3213789143
613	0.3212890189
614	0.3210278255
615	0.3209767143
616	0.3208804702
617	0.3207321015
618	0.3206373569
619	0.3205348737
620	0.3204355326
621	0.3204251351
622	0.3204022201
623	0.3202985267
624	0.3202223726
625	0.3202154288
626	0.320138112
627	0.3199751931
628	0.319791261
629	0.3196040255
630	0.3195774528
631	0.3194385362
632	0.3193878079
633	0.3192816007
634	0.319128602
635	0.3189673404
636	0.3189447536
637	0.3187526168
638	0.3186700656
639	0.3185887255
640	0.3184559267
641	0.3184078516
642	0.3183415471
643	0.3182172237
644	0.3180144826
645	0.3178999139
646	0.3178362383
647	0.3177284369
648	0.3177188697
649	0.3175113826
650	0.3173112613
651	0.3172504412
652	0.3170953968
653	0.3169712944
654	0.3168435369
655	0.3167559356
656	0.3166809539
657	0.3166323108
658	0.3164345828
659	0.3163873433
660	0.316373445
661	0.3163276007
662	0.3163077024
663	0.3160469702
664	0.315990718
665	0.315749766
666	0.3156565251
667	0.315562113
668	0.3154090585
669	0.3153037378
670	0.315226734
671	0.3150966708
672	0.314964617
673	0.3148411299
674	0.3146444743
675	0.3145713619
676	0.3144614231
677	0.3144082318
678	0.3143241556
679	0.3141346551
680	0.3140919203
681	0.3140590185
682	0.3140384258
683	0.314017863
684	0.3137164909
685	0.3136787562
686	0.3135551553
687	0.3134088391
688	0.3133735211
689	0.3133653903
690	0.3132683772
691	0.3132153263
692	0.3131981238
693	0.3131397863
694	0.3130994063
695	0.3129845588
696	0.3128685989
697	0.3126645841
698	0.312600466
699	0.3123832102
700	0.3123533928
701	0.3121719857
702	0.3120640732
703	0.3119490707
704	0.3117453331
705	0.3115230118
706	0.3115149859
707	0.311373234
708	0.3112913162
709	0.3112118698
710	0.3109914211
711	0.3108824603
712	0.3106816639
713	0.3106410314
714	0.3105872666
715	0.3104872639
716	0.3103187098
717	0.3102731429
718	0.3102363064
719	0.3100837861
720	0.3099476753
721	0.3098598601
722	0.3097973206
723	0.3096857053
724	0.3096324967
725	0.3094268984
726	0.3093407435
727	0.3090886754
728	0.3088574308
729	0.3086313542
730	0.3084318533
731	0.3082653587
732	0.308118184
733	0.308078727
734	0.3078912601
735	0.3078465399
736	0.3076995899
737	0.307534062
738	0.3075126384
739	0.3073059327
740	0.3072435568
741	0.3072137814
742	0.3071477137
743	0.3070691517
744	0.3069459393
745	0.3067748861
746	0.3065930856
747	0.3063963766
748	0.3061058143
749	0.3059814885
750	0.3058798724
751	0.3058002622
752	0.3057390421
753	0.3056551981
754	0.3055544792
755	0.3054929115
756	0.3052320522
757	0.3050935098
758	0.3049683609
759	0.3049297235
760	0.3048869756
761	0.3048480172
762	0.3047592087
763	0.3045842689
764	0.304354242
765	0.3042384744
766	0.3040316988
767	0.3038756206
768	0.3038185155
769	0.3037221928
770	0.3036017744
771	0.3035366724
772	0.3033383928
773	0.3031918876
774	0.3029831146
775	0.3029639604
776	0.3028432595
777	0.30264041
778	0.302506079
779	0.3024526016
780	0.3023345042
781	0.3022872767
782	0.3022592619
783	0.3022104478
784	0.3021261237
785	0.3020654838
786	0.3019938035
787	0.3018266061
788	0.301631894
789	0.3015777068
790	0.3013479772
791	0.3011648517
792	0.3011007102
793	0.3010046174
794	0.3009384894
795	0.3008623525
796	0.3007079975
797	0.3005202986
798	0.3004757271
799	0.300338348
800	0.3000235127
801	0.2999835367
802	0.2997172404
803	0.2996545159
804	0.2996007437
805	0.2993239777
806	0.2991151352
807	0.29906434
808	0.2989616327
809	0.298817982
810	0.2987007729
811	0.2985102208
812	0.2984347001
813	0.2982177551
814	0.2981276799
815	0.2978816229
816	0.2977777163
817	0.297730013
818	0.2976979971
819	0.297581234
820	0.2973822804
821	0.2971871806
822	0.2971454093
823	0.2969602945
824	0.2967249256
825	0.2966727281
826	0.2964201199
827	0.2963892863
828	0.2961317952
829	0.2960178109
830	0.2958272018
831	0.2956482666
832	0.2955761796
833	0.295288265
834	0.2952086096
835	0.295131454
836	0.2950653453
837	0.2948811481
838	0.294618463
839	0.2944746101
840	0.2943022059
841	0.29426656
842	0.2942079714
843	0.2941065816
844	0.2940282844
845	0.2939532481
846	0.2938941635
847	0.2938570225
848	0.2937194644
849	0.2935631509
850	0.2935132647
851	0.2934537517
852	0.2933287257
853	0.2932713267
854	0.2931651531
855	0.2930010241
856	0.2928545154
857	0.2927292364
858	0.2926507848
859	0.292563886
860	0.2925339759
861	0.2923904032
862	0.2922306831
863	0.2922058451
864	0.2921545566
865	0.2919705335
866	0.2918928554
867	0.2918500962
868	0.2918008697
869	0.2915742397
870	0.2914587984
871	0.2914063348
872	0.2913293605
873	0.2911631653
874	0.2910773761
875	0.2910431787
876	0.2908270201
877	0.2907611494
878	0.290728794
879	0.2904477863
880	0.2901869165
881	0.2900812398
882	0.2897992589
883	0.2897647374
884	0.2897485673
885	0.2897055338
886	0.2894597106
887	0.2893408241
888	0.2890592876
889	0.2890238076
890	0.2888993215
891	0.2888369878
892	0.2887930571
893	0.2887094207
894	0.2886722848
895	0.2885242715
896	0.2884600345
897	0.2882585488
898	0.2882210039
899	0.2881943592
900	0.288122583
901	0.288032205
902	0.2879698019
903	0.2879168474
904	0.2876550227
905	0.2873846538
906	0.2873581262
907	0.2873040455
908	0.2872011666
909	0.2871316579
910	0.2871048949
911	0.287084972
912	0.2870096143
913	0.2869455077
914	0.2867188462
915	0.2866736446
916	0.2866386866
917	0.2863777403
918	0.2862947235
